n,dp,backtracing,ans,total
8,0.000002,0.000032,2,0.000041
12,0.000011,0.000012,3,0.000024
19,0.000065,0.000011,4,0.000077
23,0.000112,0.000020,6,0.000138
24,0.000126,0.000016,6,0.000143
27,0.000230,0.000030,7,0.000263
28,0.000260,0.000029,10,0.000290
36,0.000595,0.000046,11,0.000644
43,0.000861,0.000046,15,0.000911
45,0.001042,0.000046,15,0.001092
52,0.001414,0.000035,16,0.001452
76,0.004942,0.000055,26,0.005000
83,0.006000,0.000057,28,0.006060
90,0.013658,0.000118,31,0.013786
5,0.000000,0.000056,0,0.000060
10,0.000007,0.000023,1,0.000034
15,0.000037,0.000022,2,0.000064
20,0.000112,0.000039,5,0.000154
25,0.000212,0.000049,7,0.000264
30,0.000671,0.000064,8,0.000777
40,0.001066,0.000073,11,0.001151
50,0.002361,0.000061,15,0.002431
70,0.006084,0.000129,22,0.006232
100,0.019076,0.000103,32,0.019187
125,0.033606,0.000108,41,0.033722
150,0.050687,0.000094,51,0.050786
175,0.070566,0.000100,62,0.070670
200,0.093464,0.000091,70,0.093557
250,0.146451,0.000097,87,0.146551
300,0.218408,0.000117,102,0.218539
250,0.141972,0.000093,85,0.142068
400,0.468837,0.000175,141,0.469022
450,0.659239,0.000197,158,0.659442
500,0.888962,0.000225,177,0.889192
550,1.178914,0.000308,194,1.179225
600,1.518200,0.000283,211,1.518486
700,2.429858,0.001584,250,2.431444
800,3.577603,0.000365,286,3.577971
900,4.980254,0.000368,322,4.980625
